,maxt,mint,avgt
1980-01-01,,,
1980-01-02,,,
1980-01-03,,,
1980-01-04,,,
1980-01-05,,,
1980-01-06,,,
1980-01-07,,,
1980-01-08,,,
1980-01-09,,,
1980-01-10,,,
1980-01-11,,,
1980-01-12,,,
1980-01-13,,,
1980-01-14,,,
1980-01-15,,,
1980-01-16,,,
1980-01-17,,,
1980-01-18,,,
1980-01-19,,,
1980-01-20,,,
1980-01-21,,,
1980-01-22,,,
1980-01-23,,,
1980-01-24,,,
1980-01-25,,,
1980-01-26,,,
1980-01-27,,,
1980-01-28,,,
1980-01-29,,,
1980-01-30,,,
1980-01-31,,,
1980-02-01,,,
1980-02-02,,,
1980-02-03,,,
1980-02-04,,,
1980-02-05,,,
1980-02-06,,,
1980-02-07,,,
1980-02-08,,,
1980-02-09,,,
1980-02-10,,,
